Data ID,Classification,Confidence Score,Detailed Justification
D7783,Warning,0.75,Email exhibits malicious attachment count (3) with high exfiltration behavior score (0.84) and moderate behavioral indicators. Multiple suspicious attachments with data exfiltration capability require security verification before attachment processing.
D7784,No Action,0.80,Email shows minimal threat indicators with DMARC enforcement and no specific request types detected. Despite SSL certificate mismatch the absence of suspicious behavioral patterns suggests normal business communication requiring no security intervention.
D7785,Warning,0.80,Email contains legal threat request with high sender temp email likelihood (0.68) and very high metadata suspicious score (0.73). Intimidation tactics from disposable email with suspicious metadata require security verification before response.
D7786,Warning,0.75,Email exhibits link click request with YARA rule match (1) and very high exfiltration behavior score (0.98). Social engineering request with security analysis hits and maximum data exfiltration capability requires security verification.
D7787,Malicious,0.90,Email contains bank detail update request with high content spam score (0.81) and URL shortener detection. Financial modification request represents business email compromise requiring immediate blocking to prevent payment redirection.
D7788,Malicious,0.85,Email exhibits VPN/MFA reset request with high metadata suspicious score (0.21) and moderate exfiltration behavior (0.60). Credential harvesting represents security threat requiring immediate blocking to prevent unauthorized access.
D7789,Malicious,0.90,Email contains wire transfer request with high exfiltration behavior score (0.90) and high site visual similarity to brand (0.76). Financial transfer request with brand spoofing represents business email compromise requiring immediate blocking.
D7790,Warning,0.80,Email exhibits document download request with high behavioral sandbox score (0.49) and AMSI suspicion score (0.49). File download request with suspicious behavioral analysis requires security verification before file access.
D7791,No Action,0.75,Email shows minimal threat indicators with no specific request types and moderate domain reputation concerns. Despite some authentication issues the absence of suspicious behavioral patterns suggests normal communication.
D7792,Malicious,0.80,Email contains sensitive data request. Sensitive information harvesting requests represent clear data theft attempt requiring immediate blocking to prevent unauthorized disclosure.
D7793,Warning,0.80,Email exhibits meeting request with reply path different from sender flag very high metadata suspicious score (0.97) and high behavioral indicators. Social engineering with reply redirection requires verification.
D7794,Warning,0.75,Email shows high sender temp email likelihood (0.65) with exploit pattern detected and high exfiltration behavior (0.78). Disposable email characteristics with exploit indicators require security attention.
D7795,No Action,0.80,Email exhibits minimal threat indicators with no specific request types and low behavioral scores. Authentication shows normal patterns suggesting legitimate business communication requiring no security intervention.
D7796,Malicious,0.95,Email exhibits sender known malicious flag with legal threat request and multiple links (7). Confirmed malicious sender infrastructure represents active threat requiring immediate blocking and security investigation.
D7797,Warning,0.80,Email contains link click request with high AMSI suspicion score (0.55) and very high exfiltration behavior (0.94). Social engineering request with suspicious script analysis and data exfiltration capability requires security verification.
D7798,Malicious,0.85,Email exhibits bank detail update request with high site visual similarity to brand (0.80) and moderate exfiltration behavior (0.55). Financial modification with brand spoofing represents business email compromise requiring immediate blocking.
D7799,Malicious,0.90,Email contains VPN/MFA reset request with any file hash malicious flag and YARA rule matches (3). Credential harvesting with confirmed malicious file hash represents attack requiring immediate blocking.
D7800,Malicious,0.85,Email exhibits wire transfer request with macro enabled document and ActiveX objects detected. Financial transfer request with dangerous executable content represents business email compromise requiring immediate blocking.
D7801,Warning,0.80,Email contains document download request with moderate behavioral scores and high content spam score (0.59). File download request with spam characteristics requires security verification before file access.
D7802,No Action,0.80,Email shows minimal threat indicators with high sender temp email likelihood (0.87) but no specific request types. Despite disposable email characteristics absence of suspicious content suggests normal communication.
D7803,Malicious,0.80,Email contains sensitive data request with high SMTP reputation concerns. Sensitive information harvesting represents data theft attempt requiring immediate blocking to prevent unauthorized disclosure.
D7804,Warning,0.80,Email exhibits meeting request with domain known malicious flag and moderate behavioral scores. Social engineering from confirmed malicious domain requires security verification before accepting invitations.
D7805,No Action,0.75,Email shows minimal threat indicators with no specific request types and low behavioral scores. Despite some authentication concerns the absence of suspicious behavioral patterns suggests normal communication.
D7806,No Action,0.75,Email exhibits minimal threat indicators with self-signed SSL certificate but no specific request types detected. Despite certificate validity concerns absence of suspicious content suggests normal communication.
D7807,Warning,0.75,Email contains legal threat request with VBScript/JavaScript detection and high exfiltration behavior (0.79). Intimidation tactics with malicious script content require security verification before response.
D7808,Warning,0.75,Email exhibits link click request with YARA rule matches (3) and high content spam score (0.51). Social engineering request with security analysis hits and spam characteristics require security verification.
D7809,Malicious,0.85,Email contains bank detail update request. Financial modification requests represent clear business email compromise attempt requiring immediate blocking regardless of other indicators.
D7810,Malicious,0.85,Email exhibits VPN/MFA reset request with YARA rule matches (3) and expired SSL certificate. Credential harvesting with security analysis hits represents attack requiring immediate blocking.
D7811,Malicious,0.90,Email contains wire transfer request with moderate behavioral scores. Financial transfer request represents business email compromise requiring immediate blocking to prevent unauthorized fund transfers.
D7812,Warning,0.80,Email exhibits document download request with high behavioral sandbox score (0.24) very high exfiltration behavior (0.99) and image only email flag. File download with maximum risk indicators requires security verification.
D7813,Warning,0.75,Email shows domain known malicious flag with self-signed SSL certificate and high sender name similarity to VIP (0.47). Confirmed malicious domain with impersonation attempt requires security verification.
D7814,Malicious,0.90,Email contains sensitive data request with final URL known malicious flag. Sensitive information harvesting directing to confirmed malicious URLs represents data theft requiring immediate blocking.
D7815,Warning,0.80,Email exhibits meeting request with reply path different from sender flag high metadata suspicious score (0.26) and self-signed SSL certificate. Social engineering with reply redirection requires security verification.
D7816,Warning,0.80,Email shows domain known malicious flag with high behavioral sandbox score (0.37) and moderate exfiltration behavior. Confirmed malicious domain with suspicious behavioral patterns requires security attention.
D7817,No Action,0.75,Email exhibits minimal threat indicators with high sender temp email likelihood (0.83) but no specific request types. Despite disposable email characteristics absence of suspicious content suggests normal communication.
D7818,Warning,0.80,Email contains legal threat request with packer detected flag macro enabled document and SSL version downgrade. Intimidation tactics with obfuscated content require security verification.
D7819,Warning,0.80,Email exhibits link click request with high sender temp email likelihood (0.61) and very high exfiltration behavior (0.91). Social engineering from disposable email with data exfiltration capability requires security verification.
