Data ID,Classification,Confidence Score,Detailed Justification
D8483,Malicious,0.95,Wire transfer request with extremely high behavioral sandbox score (0.956) and high exfiltration behavior (0.258). Has 4 malicious components detected with self-signed SSL certificate. Failed DMARC authentication. High confidence wire fraud.
D8484,Warning,0.75,Document download request with high sender temp email likelihood (0.765) and 7 URLs present. Failed SPF with temperror DMARC. Low domain reputation but no confirmed malicious attachments. Suspicious bulk campaign.
D8485,No Action,0.65,No request type with good sender domain reputation (0.746) and minimal malicious indicators. Very low spam score (0.630). Passes SPF and DMARC. Likely legitimate email.
D8486,No Action,0.65,Sensitive data request with very low malicious indicators and minimal spam score (0.057). Mismatch SSL but passes SPF. Domain reputation poor but minimal actual threats detected.
D8487,Spam,0.75,Meeting request with executable attachment but very high spam score (0.757) and high exfiltration behavior (0.539). Appears to be spam with some suspicious characteristics rather than targeted attack.
D8488,Malicious,0.88,No request type with file hash marked malicious and 4 URLs. Moderate exfiltration behavior (0.310) with failed DMARC. Confirmed malicious file with network indicators.
D8489,Spam,0.68,No request type with 4 URLs and mismatch SSL certificate. Low spam score (0.207) but failed DMARC. Appears to be tracking or marketing email.
D8490,Malicious,0.95,Legal threat request with high sender temp email likelihood (0.766) and very high exfiltration behavior (0.996). Reply path marked malicious with domain also malicious. Failed DMARC. High confidence phishing.
D8491,Warning,0.70,Link click request with moderate suspicious scores and failed SPF. Low spam score (0.258) suggests targeted attempt. Possible spoofing with moderate risk.
D8492,Malicious,0.85,Bank detail update request with URL marked as final malicious destination and high spam score (0.540). Classic BEC attempt with confirmed malicious URL.
D8493,Malicious,0.90,VPN/MFA reset request with 3 YARA matches and high SMTP IP reputation risk (0.830). Mismatch SSL with unsubscribe link present. Failed DMARC. Credential harvesting attempt.
D8494,Malicious,0.88,Wire transfer request with very high sandbox execution time (46.43s) and high exfiltration behavior (0.681). Expired SSL certificate. Time-delayed malware with wire fraud lure.
D8495,Malicious,0.92,Document download request with exploit pattern detected and high exfiltration behavior (0.645). Very high spam score (0.834) with mismatch SSL. Failed DMARC. Malware delivery attempt.
D8496,No Action,0.60,No request type with moderate spam score (0.620) but low threat indicators. Passes authentication. Likely marketing content with minimal risk.
D8497,Warning,0.75,Sensitive data request with user marked as spam before. High site similarity score (0.553) but minimal current threats. Failed DMARC. Moderate phishing risk.
