Data ID,Classification,Confidence Score,Detailed Justification
D8633,Spam,0.72,No request type with DNS morphing detected and unsubscribe link present. Failed authentication (fail SPF/DMARC) with low spam score (0.001). URL reputation moderate (0.160) with bulk characteristics rather than targeted attack.
D8634,Malicious,0.95,Sender marked as known malicious with sensitive data request and 4 URLs. Mismatch SSL certificate with permerror DMARC. High confidence known bad actor requesting sensitive information.
D8635,Malicious,0.85,Meeting request with very high metadata suspicious score (0.591) and final URL marked malicious. Behavioral sandbox score (0.140) with moderate URL reputation (0.254). High confidence spear-phishing with confirmed malicious endpoint.
D8636,Warning,0.75,No request type with high behavioral sandbox score (0.506) and AMSI suspicion (0.253). Very high URL reputation (0.989) with failed authentication. Moderate malware risk with evasion indicators.
D8637,Malicious,0.92,Sender marked as known malicious with high temp email likelihood (0.228) and 4 URLs. Very high site similarity to known brand (0.978) with self-signed SSL. High confidence brand impersonation phishing.
D8638,Warning,0.78,Legal threat request with DMARC enforced and executable attachment. High URL reputation (0.454) with failed authentication. Legal threat attempt with suspicious file component.
D8639,Malicious,0.88,Link click request with VBScript detected and very high behavioral sandbox score (0.824). High exfiltration behavior (0.910) with 4 IOCs. Self-signed SSL certificate. High confidence script-based malware.
D8640,Warning,0.82,Bank detail update request with return path marked malicious and high temp email likelihood (0.331). High URL rendering behavior (0.955) with failed DMARC. BEC attempt with spoofing indicators.
D8641,Malicious,0.88,VPN/MFA reset request with packer detected and very high metadata suspicious score (0.602). High exfiltration behavior (0.809) with expired SSL certificate. High confidence credential harvesting with obfuscation techniques.
D8642,Warning,0.78,Wire transfer request with high temp email likelihood (0.598) and high spam score (0.722). Moderate exfiltration behavior (0.589) and behavioral sandbox score (0.080). Wire transfer context with moderate threat indicators.
D8643,Warning,0.80,Document download request with VBScript detected and YARA match. High temp email likelihood (0.295) with behavioral sandbox score (0.218). Document-based threat with script execution capability.
D8644,No Action,0.68,No request type with high temp email likelihood (0.641) but minimal other threats. Good authentication (pass SPF) with self-signed SSL. Low overall risk despite temporary email usage.
D8645,No Action,0.70,Sensitive data request with good sender reputation (0.716) and minimal threat indicators. Good authentication status with valid SSL. Likely legitimate sensitive data collection.
D8646,Warning,0.75,Meeting request with high metadata suspicious score (0.454) and URL reputation (0.187). Failed SPF with temperror DMARC. Suspicious meeting invitation with authentication issues.
D8647,Warning,0.78,No request type with high metadata suspicious score (0.683) and temp email likelihood (0.401). URL spoof detected with self-signed SSL. Moderate threat with spoofing indicators.
D8648,Warning,0.72,No request type with high temp email likelihood (0.273) and 4 URLs with expired SSL. Moderate spam score (0.066) with site similarity (0.191). Suspicious campaign with multiple URLs.
D8649,Spam,0.70,Legal threat request with packer detected and high spam score (0.674). Unsubscribe link present with moderate threat indicators. Legal-themed spam rather than targeted threat.
D8650,Malicious,0.88,Link click request with macro-enabled document and VBScript detected. High exfiltration behavior (0.565) with 4 URLs and expired SSL. High confidence macro-based malware with script execution.
D8651,No Action,0.68,Bank detail update request with minimal threat indicators and good sender reputation (0.061). Good authentication with valid SSL. Likely legitimate bank detail update.
D8652,Malicious,0.90,VPN/MFA reset request with very high behavioral sandbox score (0.635) and exfiltration behavior (0.717). Final URL marked malicious with expired SSL. High confidence credential harvesting malware.
D8653,Malicious,0.88,Wire transfer request with DNS morphing detected and very high exfiltration behavior (0.980). High urgency keywords (0.647) with 3 embedded files. Wire fraud with confirmed behavioral indicators.
D8654,Warning,0.82,Document download request with executable attachment and unscannable file present. High metadata suspicious score (0.730) with very high URL reputation (0.816). Document-based threat with evasion techniques.
D8655,Warning,0.75,No request type with SMTP IP marked malicious and high temp email likelihood (0.305). Poor return path reputation (0.530) with failed authentication. Infrastructure-based threat indicators.
D8656,No Action,0.65,Sensitive data request with minimal threat indicators and 2 URL redirects. Good authentication and moderate URL reputation (0.479). Low risk sensitive data collection.
D8657,Malicious,0.90,Meeting request with 2 malicious attachments detected and return path mismatch. High metadata suspicious score (0.301) and AMSI suspicion (0.418). High confidence meeting-based malware delivery.
D8658,Warning,0.78,No request type with high urgency keywords (0.588) and behavioral sandbox score (0.070). URL spoof detected with self-signed SSL. Suspicious campaign with evasion indicators.
D8659,Warning,0.75,No request type with return path and reply path both marked malicious. Good authentication but malicious path indicators warrant monitoring despite minimal other threats.
D8660,Malicious,0.88,Legal threat request with network call detected and very high metadata suspicious score (0.652). High exfiltration behavior (0.753) and site similarity (0.718). High confidence legal threat malware with data theft.
D8661,No Action,0.68,Link click request with minimal threat indicators and moderate URL reputation (0.394). Good authentication with valid SSL. Low risk link click context.
D8662,Warning,0.78,Bank detail update request with return path mismatch and DNS morphing detected. High spam score (0.388) with failed authentication. BEC attempt with multiple spoofing indicators.
D8663,Warning,0.82,VPN/MFA reset request with reply path marked malicious and high metadata suspicious score (0.227). High temp email likelihood (0.424) with failed DMARC. Credential harvesting with spoofing.
D8664,Malicious,0.90,Wire transfer request with DMARC enforced but YARA match detected. Very high urgency keywords (0.875) and behavioral sandbox score (0.166). High confidence wire fraud with malware indicators.
D8665,Malicious,0.88,Document download request with packer detected and high behavioral sandbox score (0.732). High exfiltration behavior (0.618) with bulk indicator. Document-based malware with obfuscation.
D8666,Warning,0.78,No request type with high-risk role targeted and URL spoof detected. Very high site similarity (0.804) with high spam score (0.319). Targeted threat with brand impersonation attempt.
D8667,No Action,0.68,Sensitive data request with high temp email likelihood (0.432) but minimal threat indicators. Good authentication with self-signed SSL. Low risk despite temporary email.
D8668,Malicious,0.85,Meeting request with exploit pattern and network call detected. High exfiltration behavior (0.942) and metadata suspicious score (0.164). Meeting-based malware with confirmed behavioral indicators.
D8669,Warning,0.78,No request type with executable attachment and high URL reputation (0.873). High return path reputation risk (0.630) with failed authentication. File-based threat with reputation concerns.
D8670,Spam,0.72,No request type with sender spoof detected and bulk message indicator. Self-signed SSL with minimal other threats. Spoofed bulk campaign rather than targeted attack.
D8671,Malicious,0.90,Legal threat request with VBScript detected and very high exfiltration behavior (0.992). High temp email likelihood (0.447) with 3 embedded files. High confidence script-based malware with legal social engineering.
D8672,Warning,0.75,Link click request with return path mismatch and moderate metadata suspicious score (0.052). Self-signed SSL with temperror DMARC. Link-based threat with authentication issues.
D8673,No Action,0.68,Bank detail update request with minimal threat indicators and mismatch SSL. Good authentication with low spam score. Low risk bank update despite SSL mismatch.
D8674,Warning,0.75,VPN/MFA reset request with high metadata suspicious score (0.286) and behavioral sandbox score (0.016). 4 URLs with expired SSL certificate. Credential harvesting attempt with multiple vectors.
D8675,Warning,0.78,Wire transfer request with high SMTP reputation risk (0.320) and exfiltration behavior (0.508). 2 URLs with expired SSL certificate. Wire fraud attempt with infrastructure concerns.
D8676,Warning,0.80,Document download request with 2 YARA matches and high behavioral sandbox score (0.190). Good sender reputation (0.771) but moderate site similarity (0.422). Document-based threat with mixed indicators.
D8677,Spam,0.75,No request type with sender spoof detected and high temp email likelihood (0.105). High site similarity (0.471) but minimal malicious components. Spoofed bulk campaign with brand similarity.
D8678,Spam,0.72,Sensitive data request with very high spam score (0.505) and URL spoof detected. Valid SSL but failed authentication. High-volume phishing campaign rather than targeted attack.
D8679,Warning,0.80,Meeting request with executable attachment and high metadata suspicious score (0.389). High exfiltration behavior (0.536) with moderate URL reputation (0.487). Meeting-based threat with file delivery.
D8680,Malicious,0.92,No request type with VBScript detected and very high exfiltration behavior (0.961). High AMSI suspicion (0.484) with return path mismatch. High confidence script-based malware with data exfiltration.
D8681,No Action,0.65,No request type with minimal threat indicators and low spam score (0.000). Good authentication with valid SSL. Very low risk profile across all indicators.
D8682,No Action,0.68,Legal threat request with 2 embedded files and very low spam score (0.000). Good authentication (pass SPF) with minimal exfiltration behavior (0.560). Likely legitimate legal communication.
